primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
Djinn	2022	123	Comedy,Fantasy	6.2	274
Burra Katha	2019	150	Comedy,Romance	5.2	82
Normal Is Over: The Movie 1.1	2019	112	Documentary	7.8	22
Rose Island	2020	117	Adventure,Comedy,Drama	7.0	22734
Ratnamanjarii	2019	150	Thriller	4.0	22
Modelar	2020	105	Crime,Drama,Thriller	6.1	266
Another Round	2020	117	Comedy,Drama	7.7	172608
The Outsider	2018	115	Drama,Family	8.4	13
The Black Godfather	2019	118	Biography,Documentary	7.5	1431
Gaalipata 2	2022	151	Comedy,Romance	6.1	1467
The Bad Poet	2020	106	Biography,Drama,History	6.3	558
Anhedonia	2019	110	Drama,Mystery,Thriller	7.4	113
The Power of the Dog	2021	126	Drama,Romance,Western	6.8	182070
Cinema of Sleep	2021	105	Mystery,Thriller	7.8	13
The Elder Son	2019	125	Drama	7.6	642
Shadow Country	2020	135	Drama,History	6.8	257
